Cancer group/site,Year,Sex,Age group (years),Age Group,Count,"Age-specific rate
(per 100,000)"
string,number,number,string,string,number,number
Melanoma of the skin,2002,Males,00?04,00 - 04,1,0.2
Melanoma of the skin,2002,Males,05?09,9-May,0,0
Melanoma of the skin,2002,Males,10?14,14-Oct,3,0.4
Melanoma of the skin,2002,Males,15?19,15 - 19,37,5.4
Melanoma of the skin,2002,Males,20?24,20 - 24,76,11.4
Melanoma of the skin,2002,Males,25?29,25 - 29,110,16.1
Melanoma of the skin,2002,Males,30?34,30 - 34,178,24.1
Melanoma of the skin,2002,Males,35?39,35 - 39,228,31.3
Melanoma of the skin,2002,Males,40?44,40 - 44,381,51.1
Melanoma of the skin,2002,Males,45?49,45 - 49,426,62.5
Melanoma of the skin,2002,Males,50?54,50 - 54,536,83.2
Melanoma of the skin,2002,Males,55?59,55 - 59,596,109.2
Melanoma of the skin,2002,Males,60?64,60 - 64,618,146.1
Melanoma of the skin,2002,Males,65?69,65 - 69,543,159.1
Melanoma of the skin,2002,Males,70?74,70 - 74,721,239.2
Melanoma of the skin,2002,Males,75?79,75 - 79,560,242.1
Melanoma of the skin,2002,Males,80?84,80 - 84,363,267.4
Melanoma of the skin,2002,Males,85?89,85 - 89,190,309.5
Melanoma of the skin,2002,Males,90+,90 - 90+,57,245.2
Melanoma of the skin,2002,Males,All ages combined,All - combined,5624,58.1
Melanoma of the skin,2003,Males,00?04,00 - 04,1,0.2
Melanoma of the skin,2003,Males,05?09,44690,0,0
Melanoma of the skin,2003,Males,10?14,44848,4,0.6
Melanoma of the skin,2003,Males,15?19,15 - 19,33,4.8
Melanoma of the skin,2003,Males,20?24,20 - 24,56,8.2
Melanoma of the skin,2003,Males,25?29,25 - 29,110,16.3
Melanoma of the skin,2003,Males,30?34,30 - 34,167,22.3
Melanoma of the skin,2003,Males,35?39,35 - 39,232,32.2
Melanoma of the skin,2003,Males,40?44,40 - 44,313,41.4
Melanoma of the skin,2003,Males,45?49,45 - 49,398,57.5
Melanoma of the skin,2003,Males,50?54,44690,544,84
Melanoma of the skin,2003,Males,55?59,55 - 59,698,120.7
Melanoma of the skin,2003,Males,60?64,60 - 64,533,122.8
Melanoma of the skin,2003,Males,65?69,65 - 69,543,154.8
Melanoma of the skin,2003,Males,70?74,70 - 74,630,210.6
Melanoma of the skin,2003,Males,75?79,75 - 79,653,274.8
Melanoma of the skin,2003,Males,80?84,80 - 84,407,282.7
Melanoma of the skin,2003,Males,85?89,44690,196,312
Melanoma of the skin,2003,Males,90+,90 - 90+,64,263.2
Melanoma of the skin,2003,Males,All ages combined,44690,5582,57
Melanoma of the skin,2004,Males,00?04,44690,0,0
Melanoma of the skin,2004,Males,05?09,44690,0,0
Melanoma of the skin,2004,Males,10?14,44848,4,0.6
Melanoma of the skin,2004,Males,15?19,15 - 19,30,4.3
Melanoma of the skin,2004,Males,20?24,20 - 24,79,11.2
Melanoma of the skin,2004,Males,25?29,25 - 29,116,17.2
Melanoma of the skin,2004,Males,30?34,30 - 34,196,26.2
Melanoma of the skin,2004,Males,35?39,35 - 39,206,28.6
Melanoma of the skin,2004,Males,40?44,40 - 44,274,36.1
Melanoma of the skin,2004,Males,45?49,45 - 49,374,52.9
Melanoma of the skin,2004,Males,50?54,50 - 54,494,75.7
Melanoma of the skin,2004,Males,55?59,55 - 59,628,105.1
Melanoma of the skin,2004,Males,60?64,60 - 64,610,135.4
Melanoma of the skin,2004,Males,65?69,65 - 69,630,174.5
Melanoma of the skin,2004,Males,70?74,70 - 74,594,199.5
Melanoma of the skin,2004,Males,75?79,75 - 79,617,253.9
Melanoma of the skin,2004,Males,80?84,80 - 84,488,320.7
Melanoma of the skin,2004,Males,85?89,85 - 89,190,296.3
Melanoma of the skin,2004,Males,90+,90 - 90+,78,303.9
Melanoma of the skin,2004,Males,All ages combined,All - combined,5608,56.7
Melanoma of the skin,2005,Males,00?04,00 - 04,1,0.2
Melanoma of the skin,2005,Males,05?09,44690,2,0.3
Melanoma of the skin,2005,Males,10?14,44848,2,0.3
Melanoma of the skin,2005,Males,15?19,15 - 19,32,4.5
Melanoma of the skin,2005,Males,20?24,20 - 24,58,8.1
Melanoma of the skin,2005,Males,25?29,25 - 29,122,17.9
Melanoma of the skin,2005,Males,30?34,30 - 34,172,23.1
Melanoma of the skin,2005,Males,35?39,44690,226,31
Melanoma of the skin,2005,Males,40?44,40 - 44,315,41.5
Melanoma of the skin,2005,Males,45?49,45 - 49,442,61.4
Melanoma of the skin,2005,Males,50?54,50 - 54,524,79.5
Melanoma of the skin,2005,Males,55?59,55 - 59,707,114.8
Melanoma of the skin,2005,Males,60?64,60 - 64,659,140.4
Melanoma of the skin,2005,Males,65?69,65 - 69,679,182.1
Melanoma of the skin,2005,Males,70?74,70 - 74,667,224.5
Melanoma of the skin,2005,Males,75?79,75 - 79,693,280.3
Melanoma of the skin,2005,Males,80?84,80 - 84,509,321.5
Melanoma of the skin,2005,Males,85?89,85 - 89,242,349.6
Melanoma of the skin,2005,Males,90+,90 - 90+,92,337.2
Melanoma of the skin,2005,Males,All ages combined,All - combined,6144,61.3
Melanoma of the skin,2006,Males,00?04,44690,0,0
Melanoma of the skin,2006,Males,05?09,44690,0,0
Melanoma of the skin,2006,Males,10?14,44848,3,0.4
Melanoma of the skin,2006,Males,15?19,15 - 19,31,4.3
Melanoma of the skin,2006,Males,20?24,20 - 24,60,8.1
Melanoma of the skin,2006,Males,25?29,25 - 29,110,15.8
Melanoma of the skin,2006,Males,30?34,30 - 34,171,23.3
Melanoma of the skin,2006,Males,35?39,35 - 39,224,29.9
Melanoma of the skin,2006,Males,40?44,44690,309,41
Melanoma of the skin,2006,Males,45?49,44690,410,56
Melanoma of the skin,2006,Males,50?54,50 - 54,500,74.6
Melanoma of the skin,2006,Males,55?59,44690,692,110
Melanoma of the skin,2006,Males,60?64,60 - 64,662,134.9
Melanoma of the skin,2006,Males,65?69,65 - 69,694,181.7
Melanoma of the skin,2006,Males,70?74,70 - 74,693,230.7
Melanoma of the skin,2006,Males,75?79,44690,730,292
Melanoma of the skin,2006,Males,80?84,80 - 84,477,290.1
Melanoma of the skin,2006,Males,85?89,85 - 89,242,324.2
Melanoma of the skin,2006,Males,90+,90 - 90+,103,359.8
Melanoma of the skin,2006,Males,All ages combined,All - combined,6111,60.2
Melanoma of the skin,2007,Males,00?04,44690,0,0
Melanoma of the skin,2007,Males,05?09,44690,0,0
Melanoma of the skin,2007,Males,10?14,44848,3,0.4
Melanoma of the skin,2007,Males,15?19,15 - 19,17,2.3
Melanoma of the skin,2007,Males,20?24,20 - 24,56,7.4
Melanoma of the skin,2007,Males,25?29,25 - 29,86,11.9
Melanoma of the skin,2007,Males,30?34,30 - 34,156,21.5
Melanoma of the skin,2007,Males,35?39,35 - 39,191,24.7
Melanoma of the skin,2007,Males,40?44,40 - 44,243,32.5
Melanoma of the skin,2007,Males,45?49,45 - 49,402,53.8
Melanoma of the skin,2007,Males,50?54,50 - 54,528,77.4
Melanoma of the skin,2007,Males,55?59,44690,676,108
Melanoma of the skin,2007,Males,60?64,60 - 64,738,139.6
Melanoma of the skin,2007,Males,65?69,65 - 69,709,178.5
Melanoma of the skin,2007,Males,70?74,70 - 74,682,221.2
Melanoma of the skin,2007,Males,75?79,75 - 79,647,257.4
Melanoma of the skin,2007,Males,80?84,80 - 84,541,317.8
Melanoma of the skin,2007,Males,85?89,85 - 89,271,335.9
Melanoma of the skin,2007,Males,90+,90 - 90+,99,327.4
Melanoma of the skin,2007,Males,All ages combined,All - combined,6045,58.4
Melanoma of the skin,2008,Males,00?04,44690,0,0
Melanoma of the skin,2008,Males,05?09,44690,1,0.1
Melanoma of the skin,2008,Males,10?14,44848,3,0.4
Melanoma of the skin,2008,Males,15?19,44690,22,3
Melanoma of the skin,2008,Males,20?24,20 - 24,59,7.5
Melanoma of the skin,2008,Males,25?29,25 - 29,87,11.5
Melanoma of the skin,2008,Males,30?34,30 - 34,141,19.4
Melanoma of the skin,2008,Males,35?39,35 - 39,254,32.2
Melanoma of the skin,2008,Males,40?44,44690,313,42
Melanoma of the skin,2008,Males,45?49,45 - 49,410,53.8
Melanoma of the skin,2008,Males,50?54,50 - 54,569,82.1
Melanoma of the skin,2008,Males,55?59,44690,669,106
Melanoma of the skin,2008,Males,60?64,60 - 64,800,142.9
Melanoma of the skin,2008,Males,65?69,65 - 69,778,189.3
Melanoma of the skin,2008,Males,70?74,70 - 74,662,208.4
Melanoma of the skin,2008,Males,75?79,75 - 79,690,274.3
Melanoma of the skin,2008,Males,80?84,80 - 84,650,369.2
Melanoma of the skin,2008,Males,85?89,85 - 89,318,369.7
Melanoma of the skin,2008,Males,90+,90 - 90+,110,351.3
Melanoma of the skin,2008,Males,All ages combined,All - combined,6536,61.8
Melanoma of the skin,2009,Males,00?04,00 - 04,1,0.1
Melanoma of the skin,2009,Males,05?09,44690,0,0
Melanoma of the skin,2009,Males,10?14,44848,9,1.3
Melanoma of the skin,2009,Males,15?19,15 - 19,27,3.6
Melanoma of the skin,2009,Males,20?24,20 - 24,48,5.9
Melanoma of the skin,2009,Males,25?29,25 - 29,101,12.6
Melanoma of the skin,2009,Males,30?34,44690,148,20
Melanoma of the skin,2009,Males,35?39,44690,255,32
Melanoma of the skin,2009,Males,40?44,40 - 44,297,39.6
Melanoma of the skin,2009,Males,45?49,45 - 49,386,50.1
Melanoma of the skin,2009,Males,50?54,50 - 54,555,78.3
Melanoma of the skin,2009,Males,55?59,55 - 59,692,108.3
Melanoma of the skin,2009,Males,60?64,60 - 64,810,139.8
Melanoma of the skin,2009,Males,65?69,65 - 69,759,176.4
Melanoma of the skin,2009,Males,70?74,70 - 74,796,241.5
